Quote,Author,Born,Died,Description,Date Spoken,Source(s),Topic,Comments
"Women, in general, and black women have been involved in technology for ages . . . but they’re hidden. They’re not the stories that you hear about; they’re not the people that you see who are written about.",Kimberly Bryant,1967,-,Electrical engineer and founder of Black Girls Code.,Unknown,http://www.quotabelle.com/discover,"women, technology, stories, people",
Not having that strong representation in the industry has really hurt in terms of attracting women into the field.,Kimberly Bryant,1967,-,Electrical engineer and founder of Black Girls Code.,Unknown,http://www.quotabelle.com/discover,"diversity, representation, women",
"There becomes this untrue perception that girls don’t like technology or girls can’t do technology, which is not true at all.",Kimberly Bryant,1967,-,Electrical engineer and founder of Black Girls Code.,Unknown,http://www.quotabelle.com/discover,"technology, women, perception",
Don't be afraid of failure. That's not an easy lesson for teenagers - especially teenage girls - to learn. Our society sends us a lot of messages that imply we're supposed to be ashamed when we fall short. But I think we should be throwing each other failure parties!,Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"failure, fear, learn",
"Fail hard, fail fast, fail often. It's the key to success.' This one I learned from experience!",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"failure, experience, success",
"Coding is the language of the future, and every girl should learn it. As I've learned from watching girls grow and learn in our classrooms, coding is fun, collaborative and creative.",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"coding, language, creativity",
"Teach one girl how to code, she'll teach four. The replication effect is so powerful.",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"coding, women, power",
"Embracing failure is the most important trait I've developed in my career. I have tried to learn from my failures, and I believe it has made me stronger, more confident and more resilient.",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"failure, career, confidence, strength",
"We can't think of any better way of becoming our best selves, than by finding something we're great at!",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"become, self",
"If you haven't failed yet, you haven't tried anything.",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,http://www.azquotes.com/author/53531-Reshma_Saujani,"failure, try",
"Teach girls bravery, not perfection.",Reshma Saujani,1975,-,American lawyer and policitian who founded Girls Who Code.,Unknown,https://medium.com/girls-who-code/teach-girls-bravery-not-perfection-257691d13476,"bravery, perfection, women",
"I’ve been called a giant in science. If that is the case, it’s only because I stand on the shoulders of my forefathers.",Aprille Ericsson-Jackson,1963,-,American aerospace engineer and first female African-American to receive a Ph.D in engineering at the NASA Goddard Space Flight Center.,2011,http://www.quotabelle.com/author/aprille-ericsson-jackson,"science, forefathers",
I consider myself a cool geek.,Aprille Ericsson-Jackson,1963,-,American aerospace engineer and first female African-American to receive a Ph.D in engineering at the NASA Goddard Space Flight Center.,2014,http://www.quotabelle.com/author/aprille-ericsson-jackson,"cool, geek",
The United States cannot afford to lose more than half of its talent and the fresh perspective that women and minorities can bring.,Aprille Ericsson-Jackson,1963,-,American aerospace engineer and first female African-American to receive a Ph.D in engineering at the NASA Goddard Space Flight Center.,2011,http://www.quotabelle.com/author/aprille-ericsson-jackson,"diversity, talent, perspective",
"Imagine that there is a bank that credits your account each morning with $86,400 but does not allow you to carry over a balance, each day it cancels the amount you failed to use. Think of that bank account as time, with 86,400 seconds each day. There's no borrowing against tomorrow, so draw out every cent today.",Aprille Ericsson-Jackson,1963,-,American aerospace engineer and first female African-American to receive a Ph.D in engineering at the NASA Goddard Space Flight Center.,2011,http://www.quotabelle.com/author/aprille-ericsson-jackson,"time, use",
We've gone from developing micro-technology to nano-technology . . . Keep working hard because we're moving towards that atomic level.,Aprille Ericsson-Jackson,1963,-,American aerospace engineer and first female African-American to receive a Ph.D in engineering at the NASA Goddard Space Flight Center.,2014,http://www.quotabelle.com/author/aprille-ericsson-jackson,"atomic, work, progress",
"Without diversity in all fields, the United States will not remain technically competitive.",Aprille Ericsson-Jackson,1963,-,American aerospace engineer and first female African-American to receive a Ph.D in engineering at the NASA Goddard Space Flight Center.,2015,http://www.quotabelle.com/author/aprille-ericsson-jackson,"diversity, technology",
"What we find is that if you have a goal that is very, very far out, and you approach it in little steps, you start to get there faster. Your mind opens up to the possibilities.",Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"goal, steps, possibilities",
Science provides an understanding of a universal experience. Arts provide a universal understanding of a personal experience.,Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"science, universal, art, experience, personal",
"The difference between science and the arts is not that they are different sides of the same coin even, or even different parts of the same continuum, but rather, they are manifestations of the same thing. The arts and sciences are avatars of human creativity.",Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"science, creativity, human",
"Some people say they feel very small when they think about space. I felt more expansive, very connected to the universe.",Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"space, universe, connections",
"I think science fiction helps us think about possibilities, to speculate - it helps us look at our society from a different perspective. It lets us look at our mores, using science as the backdrop, as the game changer.",Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"science, possibilities, perspective",
I always knew I'd go to space.,Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"space, knowledge",
"We look at science as something very elite, which only a few people can learn. That's just not true. You just have to start early and give kids a foundation. Kids live up, or down, to expectations.",Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"science, early, expectations",
Some of the most fun people I know are scientists.,Mae Jemison,1956,-,"First African-American woman to go to space, during the Endeavour mission.",Unknown,https://www.brainyquote.com/quotes/authors/m/mae_jemison.html,"science, people",
"I counted everything. I counted the steps to the road, the steps up to church, the number of dishes and silverware I washed … anything that could be counted, I did.",Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.nasa.gov/audience/foreducators/a-lifetime-of-stem.html,"count, everything, number",
The women did what they were told to do. They didn’t ask questions or take the task any further. I asked questions; I wanted to know why.,Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.nasa.gov/audience/foreducators/a-lifetime-of-stem.html,"women, questions",
"We will always have STEM with us. Some things will drop out of the public eye and will go away, but there will always be science, engineering and technology. And there will always, always be mathematics. Everything is physics and math.",Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.nasa.gov/audience/foreducators/a-lifetime-of-stem.html,"mathematics, science, technology",
"I don't have a feeling of inferiority. Never had. I'm as good as anybody, but no better.",Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.brainyquote.com/quotes/authors/k/katherine_johnson.html,"inferiority, good, worth",
"In math, you're either right or wrong.",Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.brainyquote.com/quotes/authors/k/katherine_johnson.html,"mathematics, right",
Girls are capable of doing everything men are capable of doing. Sometimes they have more imagination than men.,Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.brainyquote.com/quotes/authors/k/katherine_johnson.html,"capabilities, women, imagination",
I'm always interested in learning something new.,Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.brainyquote.com/quotes/authors/k/katherine_johnson.html,"learning, new",
"I see a picture right now that's not parallel, so I'm going to go straighten it. Things must be in order.",Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,"https://www.nasa.gov/audience/foreducators/a-lifetime-of-stem.html, https://www.brainyquote.com/quotes/authors/k/katherine_johnson.html","parallel, order",
I like to learn. That's an art and a science.,Katherine Johnson,1918,-,Worked as a 'computer' at NASA and performed the calculations that sent astronauts into orbit and to the moon.,Unknown,https://www.brainyquote.com/quotes/authors/k/katherine_johnson.html,"learn, art, science",
It’s the true wonder of science that can get people excited and get people to aspire.,Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,"science, excitement, people",
I like to wow kids with all sorts of facts and figures.,Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,"kids, facts, figures",
"As a child growing up, I wanted to reach the stars, but by making this instrument, I was doing the next best thing. I could look into the hearts of stars.",Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,"stars, heart, instrument",
"You don't need a big brain the size of a planet, or mad hair. You need a passion to understand things.",Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,"brain, passion",
Science is a wonder. It's like poetry and music and yet people don't see it that way.,Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,"science, poetry, music, wonder",
I've ... worked on telescopes on mountains where the stars make my heart sing.,Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,"stars, telescopes, heart",
I've always been mad about the moon.,Maggie Aderin-Pocock,1968,-,English space scientist and science educator.,Unknown,http://www.quotabelle.com/discover,moon,
Everyone wants better answers faster.,Grace Hopper,1906,1992,American computer scientist who invented one of the first compiler related tools and whose work led to the development of COBOL.,Unknown,http://www.quotabelle.com/discover,"answers, better, faster",
"I didn't know what a billion was. I don't think most of those men downtown know what a billion is, either. And if you don't know what a billion is, how on earth do you know what a billionth is?",Grace Hopper,1906,1992,American computer scientist who invented one of the first compiler related tools and whose work led to the development of COBOL.,Unknown,http://www.quotabelle.com/discover,"billion, knowledge",
"The application of systems techniques has been successful in scientific and technical applications . . . It meets difficulty when it is applied in social and political situations largely because people are not 'well-behaved' mathematical functions, but can only be represented by statistical approximations, and all of the extremes can and do occur.",Grace Hopper,1906,1992,American computer scientist who invented one of the first compiler related tools and whose work led to the development of COBOL.,Unknown,http://www.quotabelle.com/discover,"systems, technology, social, situations, statistics",
People are not 'well-behaved' mathematical functions.,Grace Hopper,1906,1992,American computer scientist who invented one of the first compiler related tools and whose work led to the development of COBOL.,Unknown,http://www.quotabelle.com/discover,"mathematics, functions, people",
"...For me, at the end of the day, the success of a business is not gender-driven. The question is: do you have the right background and the right team?",Jenny Lee,1972,-,One of the most respected and valuable tech investors in China right now.,2015,https://www.forbes.com/sites/ryanmac/2015/03/25/jenny-lee-midas-list-top-ranked-woman-interview-china/#2a094d552d88,"gender, background, team, business, success",
...the question to answer is how do we get more women in the industry? That starts with education whether that’s in high school or college. ...We need to get more women to start early in these areas.,Jenny Lee,1972,-,One of the most respected and valuable tech investors in China right now.,2015,https://www.forbes.com/sites/ryanmac/2015/03/25/jenny-lee-midas-list-top-ranked-woman-interview-china/#2a094d552d88,"women, industry, education",
"It takes humility to realize we don't know everything, not to rest on our laurels, and to know that we must keep learning and observing. If we don't, we can be sure some startup will be there to take our place.",Cher Wang,1958,-,Taiwanese entrepreneur and philanthropist who cofounded HTC and VIA Technologies.,Unknown,http://www.myfrugalbusiness.com/2016/12/cher-wang-entrepreneur-quotes.html,"humility, knowledge, learn",
"If you have a vision, no matter how difficult things are, everything just becomes a process.",Cher Wang,1958,-,Taiwanese entrepreneur and philanthropist who cofounded HTC and VIA Technologies.,Unknown,http://www.myfrugalbusiness.com/2016/12/cher-wang-entrepreneur-quotes.html,"vision, process, difficulty",
"I always have this imagination, something I want to use. I don't understand the idea of leisure time.",Cher Wang,1958,-,Taiwanese entrepreneur and philanthropist who cofounded HTC and VIA Technologies.,Unknown,http://www.myfrugalbusiness.com/2016/12/cher-wang-entrepreneur-quotes.html,"imagination, time",
Hundreds of ideas are tested and discarded to find the rare ideas that define the user experience.,Cher Wang,1958,-,Taiwanese entrepreneur and philanthropist who cofounded HTC and VIA Technologies.,Unknown,http://www.myfrugalbusiness.com/2016/12/cher-wang-entrepreneur-quotes.html,"ideas, rare, experience",
"As entrepreneurs, we must continue to ask ourselves What's Next?",Cher Wang,1958,-,Taiwanese entrepreneur and philanthropist who cofounded HTC and VIA Technologies.,Unknown,http://www.myfrugalbusiness.com/2016/12/cher-wang-entrepreneur-quotes.html,"ask, next",
Whatever it is that you think you want to do - and whatever it is that you think stands between you and that - stop making excuses. You can do anything.,Katia Beauchamp,?,-,Founder and co-CEO of Birchbox.,Unknown,http://lifehacker.com/im-katia-beauchamp-birchbox-co-founder-and-ceo-and-th-1795889433,excuses,
"I’ve received a lot of great advice over the years, but most of what’s sticking with me right now is about creating your own reality and the idea of self-fulfilling prophecies. Staying in the game is such a huge part of winning the game—so many people tap out. I have learned a lot about building resilience and believing that you can handle whatever is thrown at you.",Katia Beauchamp,?,-,Founder and co-CEO of Birchbox.,2017,http://lifehacker.com/im-katia-beauchamp-birchbox-co-founder-and-ceo-and-th-1795889433,"advice, reality, prophecies, game, belief",
"...I realize society has a gendered view on how women change the world. When a woman says she is going to change the world, society expects that she is going to launch a nonprofit. My efforts are focused on women changing the world through for-profit social ventures.",Natalia Oberti Noguera,?,-,"Founder and CEO of Pipeline Angels, a network of women investors that is changing the face of angel investing and creating capital for women social entrepreneurs.",Unknown,http://www.sparkpluglabs.co/awesome-woman/nataliaobertinoguera,"society, gender, women, change",
What keeps me busy? Getting more voices in the room.,Natalia Oberti Noguera,?,-,"Founder and CEO of Pipeline Angels, a network of women investors that is changing the face of angel investing and creating capital for women social entrepreneurs.",Unknown,http://www.sparkpluglabs.co/awesome-woman/nataliaobertinoguera,"busy, voices",
